group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vsswap_hdv,,512,,,,PASSED,671,1.310,,739,64,0,0,48,16,78,78,8,2,120,80,246,4,80,571,0,0,0,80,2,1,632,78,46,1,8,32,30,30,32,1048,32,256,3840,0,0,30,0,0,0,0,0,0,0,96,509,16,445,1,1,33,0,1.000
avl,vsswap_hdv,,64,,,,PASSED,83,1.296,,151,8,0,0,6,2,8,8,4,2,0,10,16,4,10,53,0,0,0,10,2,1,40,8,4,1,5,4,2,2,4,474,4,256,256,0,0,2,0,0,0,0,0,0,0,12,47,2,39,1,1,5,0,1.000
avl,vvaddint32_hdv,,1024,,,,PASSED,796,.777,,864,128,0,0,96,32,157,157,7,3,0,160,223,7,160,613,0,0,0,162,3,1,768,159,64,1,4,55,64,64,64,1157,33,256,7792,0,0,62,1,2,12,1,0,0,10,160,521,32,444,2,2,128,0,1.000
avl,vvaddint32_hdv,,128,,,,PASSED,114,.890,,182,16,0,2,12,4,17,17,7,3,0,20,27,7,20,71,0,0,0,22,3,1,94,19,8,1,4,8,6,6,8,503,4,256,768,0,0,6,1,0,2,0,0,0,9,20,63,4,52,2,2,16,0,1.000
avl,vvaddint32_hdv,,2048,,,,PASSED,1578,.770,,1646,256,0,0,192,64,317,317,8,3,5,320,452,7,325,1235,0,0,0,322,3,1,1551,319,128,1,4,109,128,128,128,1907,66,416,15712,0,0,125,2,3,24,0,1,0,1,320,1047,64,895,13,13,256,0,1.000
avl,vvaddint32_hdv,,256,,,,PASSED,212,.828,,280,32,0,2,24,8,37,37,7,3,0,40,55,7,40,149,0,0,0,42,3,1,192,39,16,1,4,14,14,14,16,597,8,256,1792,0,0,14,1,0,3,0,0,0,0,40,129,8,109,2,2,32,0,1.000
avl,vvaddint32_hdv,,32,,,,PASSED,28,.875,,96,4,0,2,3,1,3,3,1,2,0,5,7,5,5,3,0,0,0,6,1,0,20,5,1,0,4,2,0,0,2,420,1,256,0,0,0,0,0,0,0,0,0,0,2,5,3,1,0,0,0,4,0,
avl,vvaddint32_hdv,,4096,,,,PASSED,3140,.766,,3208,512,0,0,384,128,637,637,8,3,11,640,906,7,651,2477,0,0,0,642,3,1,3113,639,256,1,4,213,260,260,256,3405,132,480,31648,0,0,253,4,7,50,0,1,0,1,640,2097,128,1793,33,33,512,0,1.000
avl,vvaddint32_hdv,,512,,,,PASSED,403,.787,,471,64,0,2,48,16,77,77,7,3,0,80,111,7,80,300,0,0,0,82,3,1,384,79,32,1,4,28,30,30,32,780,16,256,3840,0,0,30,1,0,6,0,0,0,8,80,256,16,217,2,2,64,0,1.000
avl,vvaddint32_hdv,,64,,,,PASSED,70,1.093,,138,8,0,0,6,2,7,7,4,3,0,10,14,7,10,37,0,0,0,12,3,1,38,9,4,1,4,4,2,2,4,461,2,256,256,0,0,2,0,0,0,0,0,0,0,10,35,2,29,2,2,8,0,1.000
